ID,lat,lon
1,53.932462,-6.417717
2,53.932366,-6.417582
3,52.342373,-6.464083
4,53.239404,-6.660165
5,52.246699,-7.136054
6,54.010244,-6.402563
7,52.6597,-8.6276
8,52.663928,-8.629209
9,52.6582,-8.6294
10,52.661942,-8.632167
11,53.978065,-6.719424
12,52.384589,-9.298733
13,52.387155,-9.298709
14,52.833492,-6.927016
15,52.837679,-6.933489
16,52.836204,-6.933329
17,52.837141,-6.931171
18,52.565132,-8.790471
19,52.79884,-6.153186
20,52.796732,-6.154016
21,52.794954,-6.159181
22,53.424683,-7.934554
23,53.860912,-6.542098
24,53.330623,-8.225283
25,53.329234,-8.220814
26,53.900165,-8.583955
27,53.902107,-8.584125
28,53.422827,-7.942894
29,53.698786,-6.244052
30,53.696998,-6.247419
31,54.501212,-8.188619
32,53.202248,-6.107861
33,53.204956,-6.103734
34,53.204305,-6.1064
35,53.97367,-8.300383
36,53.971854,-8.30158
37,53.295394,-6.203324
38,53.29478,-6.202675
39,53.198522,-6.095347
40,53.302618,-6.179272
41,54.118926,-6.734136
42,53.8569,-9.3007
43,53.853965,-9.299093
44,51.814214,-8.389294
45,53.260088,-6.149376
46,53.94394,-8.0987
47,52.841021,-6.923177
48,52.834672,-6.922117
49,52.836449,-6.923688
50,51.867466,-8.474918
51,51.872405,-8.470652
52,51.892902,-8.507741
53,51.893546,-8.508452
54,52.230261,-9.465842
55,52.358332,-8.686177
56,51.895162,-8.467686
57,51.895163,-8.466007
58,51.896445,-8.464346
59,51.852858,-8.295589
60,54.65153,-8.112858
61,51.803558,-8.308101
62,54.797965,-7.783045
63,52.644754,-6.227539
64,51.877059,-8.395368
65,51.878654,-8.46646
66,52.346839,-8.65417
67,51.902465,-8.456459
68,51.902176,-8.45656
69,51.896341,-8.47336
70,53.717897,-6.363422
71,53.32548,-6.252396
72,53.428658,-6.234603
73,53.4273,-6.2395
74,53.366858,-6.256277
75,53.372445,-6.253011
76,53.371953,-6.25609
77,53.277112,-6.203688
78,53.369084,-6.276256
79,53.370804,-6.280669
80,53.329905,-6.299208
81,53.316632,-6.333667
82,53.282676,-6.143831
83,53.331871,-6.372084
84,53.326401,-6.369329
85,53.375068,-6.364187
86,53.290312,-6.199693
87,53.392144,-6.392798
88,53.342804,-6.228172
89,53.537292,-6.216982
90,53.338849,-6.232852
91,52.956798,-7.801291
92,53.275704,-6.103034
93,52.505479,-6.569795
94,52.501053,-6.570085
95,52.50341,-6.57359
96,54.000125,-6.412365
97,53.416003,-6.242005
98,54.003855,-6.387454
99,54.003329,-6.397354
100,52.09105,-7.619949
101,52.088253,-7.620067
102,53.304365,-8.942545
103,53.276578,-9.052925
104,53.279829,-9.057716
105,53.280251,-9.049573
106,53.278213,-9.050699
107,53.275173,-8.947202
108,53.362824,-7.496517
109,52.13766,-8.266641
110,54.951508,-7.734554
111,54.9531,-7.733
112,53.323004,-6.523586
113,53.369446,-6.506993
114,52.059533,-9.507251
115,52.058,-9.5049
116,53.349272,-6.45268
117,53.197768,-8.570838
118,53.963924,-6.364996
119,53.723916,-7.795273
120,52.6638,-8.6216
121,54.961006,-7.731468
122,52.6527,-8.593254
123,53.218301,-6.658085
124,53.220686,-6.65798
125,53.52704,-7.336201
126,53.522866,-7.34717
127,52.139226,-8.65451
128,53.394993,-7.719377
129,53.451232,-6.15157
130,53.451677,-6.156183
131,53.45093,-6.152092
132,53.45034,-6.15631
133,52.861411,-8.212898
134,53.973836,-6.718495
135,53.658508,-6.263527
136,53.9386,-8.9525
137,54.246923,-6.964533
138,51.849032,-8.331938
139,52.395284,-6.943578
140,52.3928,-6.9452
141,52.452409,-9.061489
142,53.160461,-7.187451
143,53.340138,-7.616688
144,53.032991,-7.298964
145,53.036631,-7.301402
146,53.030597,-7.301582
147,53.032632,-7.306072
148,52.741452,-8.775267
149,54.389519,-8.528397
150,53.415495,-6.834755
151,53.454205,-6.223523
152,53.453917,-6.221329
153,53.285621,-6.369887
154,54.27203,-8.4825
155,54.27368,-8.480636
156,54.271302,-8.465001
157,54.804946,-7.768815
158,52.270981,-9.699946
159,53.514068,-8.852301
160,52.719278,-7.586167
161,52.258808,-7.1056
